ORDERTYPE,CUSTOMER,ITEMCODE,ORDERDATE,ORDERNO,OREDEREDQUANTITY,DELIVERYDATE,INVOICENO,DELIVEREDQUANTITY
ES1,C00224,IT0001468,14-JAN-2015 12.00.00.000000000 AM,220893,700,08-FEB-2015 12.00.00.000000000 AM,21400915,160
ES1,C00223,IT0001016,16-FEB-2015 12.00.00.000000000 AM,220913,350,20-FEB-2015 12.00.00.000000000 AM,21401294,350
ES1,C00224,IT0001052,19-FEB-2015 12.00.00.000000000 AM,220916,600,24-FEB-2015 12.00.00.000000000 AM,21401387,234
ES1,C00224,IT0001052,19-FEB-2015 12.00.00.000000000 AM,220916,600,25-FEB-2015 12.00.00.000000000 AM,21401436,366
ES1,C00224,IT0001133,19-FEB-2015 12.00.00.000000000 AM,220916,20,25-FEB-2015 12.00.00.000000000 AM,21401436,20
ES1,C00225,IT0001239,19-OCT-2014 12.00.00.000000000 AM,220860,350,26-JAN-2015 12.00.00.000000000 AM,21400534,350
ES3,C00315,IT0001488,23-JAN-2015 12.00.00.000000000 AM,257055,50,03-FEB-2015 12.00.00.000000000 AM,21400802,50
ES3,C00127,IT0001012,06-FEB-2015 12.00.00.000000000 AM,257135,250,07-FEB-2015 12.00.00.000000000 AM,21400929,250
ES1,C00283,IT0001133,08-FEB-2015 12.00.00.000000000 AM,257178,32,12-FEB-2015 12.00.00.000000000 AM,21401050,32
ES3,C00315,IT0001020,10-FEB-2015 12.00.00.000000000 AM,257198,640,13-FEB-2015 12.00.00.000000000 AM,21401109,160
ES3,C00315,IT0001020,10-FEB-2015 12.00.00.000000000 AM,257198,640,18-FEB-2015 12.00.00.000000000 AM,21401252,160
ES3,C00315,IT0001020,10-FEB-2015 12.00.00.000000000 AM,257198,640,20-FEB-2015 12.00.00.000000000 AM,21401316,160
ES3,C00315,IT0001020,10-FEB-2015 12.00.00.000000000 AM,257198,640,22-FEB-2015 12.00.00.000000000 AM,21401432,160
ES1,C00172,IT0001381,12-FEB-2015 12.00.00.000000000 AM,257215,8,15-FEB-2015 12.00.00.000000000 AM,21401093,8
ES3,C00277,IT0001088,15-FEB-2015 12.00.00.000000000 AM,257238,150,22-FEB-2015 12.00.00.000000000 AM,21401378,150
ES1,C00257,IT0001012,19-FEB-2015 12.00.00.000000000 AM,257261,250,23-FEB-2015 12.00.00.000000000 AM,21401377,250
ES1,C00301,IT0001494,23-FEB-2015 12.00.00.000000000 AM,257298,20,27-FEB-2015 12.00.00.000000000 AM,21401515,20
ES1,C00238,IT0001012,17-NOV-2014 12.00.00.000000000 AM,256617,2500,04-JAN-2015 12.00.00.000000000 AM,21400009,500
ES1,C00238,IT0001012,17-NOV-2014 12.00.00.000000000 AM,256617,2500,04-JAN-2015 12.00.00.000000000 AM,21400036,1250
ES1,C00238,IT0001012,17-NOV-2014 12.00.00.000000000 AM,256617,2500,09-JAN-2015 12.00.00.000000000 AM,21400182,500
ES1,C00238,IT0001012,17-NOV-2014 12.00.00.000000000 AM,256617,2500,12-JAN-2015 12.00.00.000000000 AM,21400233,250
ES3,C00238,IT0001012,17-DEC-2014 12.00.00.000000000 AM,256820,1250,12-JAN-2015 12.00.00.000000000 AM,21400214,500
ES3,C00238,IT0001012,17-DEC-2014 12.00.00.000000000 AM,256820,1250,12-JAN-2015 12.00.00.000000000 AM,21400234,500
ES1,C00313,IT0001068,06-JAN-2015 12.00.00.000000000 AM,256923,288,07-JAN-2015 12.00.00.000000000 AM,21400140,144
ES1,C00313,IT0001068,06-JAN-2015 12.00.00.000000000 AM,256923,288,15-JAN-2015 12.00.00.000000000 AM,21400325,72
ES1,C00313,IT0001068,06-JAN-2015 12.00.00.000000000 AM,256923,288,19-JAN-2015 12.00.00.000000000 AM,21400439,72
ES1,C00334,IT0001076,07-JAN-2015 12.00.00.000000000 AM,256946,500,14-JAN-2015 12.00.00.000000000 AM,21400292,500
ES3,C00315,IT0001076,07-JAN-2015 12.00.00.000000000 AM,256949,750,12-JAN-2015 12.00.00.000000000 AM,21400220,250
ES3,C00315,IT0001076,07-JAN-2015 12.00.00.000000000 AM,256949,750,13-JAN-2015 12.00.00.000000000 AM,21400245,500
ES3,C00335,IT0001012,09-JAN-2015 12.00.00.000000000 AM,256972,250,12-JAN-2015 12.00.00.000000000 AM,21400225,250
ES3,C00335,IT0001159,09-JAN-2015 12.00.00.000000000 AM,256972,24,13-JAN-2015 12.00.00.000000000 AM,21400247,24
ES1,C00152,IT0001026,22-JAN-2015 12.00.00.000000000 AM,290331,250,10-FEB-2015 12.00.00.000000000 AM,21400975,250
ES1,C00152,IT0001488,22-JAN-2015 12.00.00.000000000 AM,290331,10,10-FEB-2015 12.00.00.000000000 AM,21400975,10
ES1,C00252,IT0001084,14-DEC-2014 12.00.00.000000000 AM,290285,1000,04-JAN-2015 12.00.00.000000000 AM,21400003,750
ES1,C00252,IT0001116,14-DEC-2014 12.00.00.000000000 AM,290285,200,04-JAN-2015 12.00.00.000000000 AM,21400003,128
ES1,C00297,IT0001168,17-DEC-2014 12.00.00.000000000 AM,290288,200,08-FEB-2015 12.00.00.000000000 AM,21400919,200
ES1,C00297,IT0001501,17-DEC-2014 12.00.00.000000000 AM,290288,150,08-FEB-2015 12.00.00.000000000 AM,21400919,150
ES1,C00297,IT0001504,17-DEC-2014 12.00.00.000000000 AM,290288,250,08-FEB-2015 12.00.00.000000000 AM,21400919,250
ES1,C00237,IT0001415,18-JAN-2015 12.00.00.000000000 AM,290325,20,16-FEB-2015 12.00.00.000000000 AM,21401119,20
ES3,C00238,IT0001113,17-DEC-2014 12.00.00.000000000 AM,256820,72,20-JAN-2015 12.00.00.000000000 AM,21400472,72
ES1,C00283,IT0001077,22-DEC-2014 12.00.00.000000000 AM,256843,25,13-JAN-2015 12.00.00.000000000 AM,21400235,25
ES3,C00146,IT0001088,23-DEC-2014 12.00.00.000000000 AM,256846,480,11-FEB-2015 12.00.00.000000000 AM,21401033,160
ES1,C00313,IT0001020,06-JAN-2015 12.00.00.000000000 AM,256923,800,07-JAN-2015 12.00.00.000000000 AM,21400140,320
ES1,C00313,IT0001020,06-JAN-2015 12.00.00.000000000 AM,256923,800,08-JAN-2015 12.00.00.000000000 AM,21400176,160
ES1,C00313,IT0001020,06-JAN-2015 12.00.00.000000000 AM,256923,800,13-JAN-2015 12.00.00.000000000 AM,21400243,320
ES3,C00313,IT0001101,06-JAN-2015 12.00.00.000000000 AM,256926,180,07-JAN-2015 12.00.00.000000000 AM,21400141,180
ES1,C00334,IT0001151,07-JAN-2015 12.00.00.000000000 AM,256946,24,09-JAN-2015 12.00.00.000000000 AM,21400178,24
ES3,C00315,IT0001020,07-JAN-2015 12.00.00.000000000 AM,256949,320,12-JAN-2015 12.00.00.000000000 AM,21400220,160
ES3,C00315,IT0001020,07-JAN-2015 12.00.00.000000000 AM,256949,320,13-JAN-2015 12.00.00.000000000 AM,21400245,160
ES3,C00335,IT0001124,09-JAN-2015 12.00.00.000000000 AM,256972,24,21-JAN-2015 12.00.00.000000000 AM,21400482,24
ES3,C00127,IT0001020,22-JAN-2015 12.00.00.000000000 AM,257029,160,23-JAN-2015 12.00.00.000000000 AM,21400507,160
ES3,C00315,IT0001494,23-JAN-2015 12.00.00.000000000 AM,257055,125,03-FEB-2015 12.00.00.000000000 AM,21400802,125
ES3,C00315,IT0001471,23-JAN-2015 12.00.00.000000000 AM,257055,25,03-FEB-2015 12.00.00.000000000 AM,21400802,25
ES3,C00127,IT0001076,06-FEB-2015 12.00.00.000000000 AM,257135,500,07-FEB-2015 12.00.00.000000000 AM,21400929,500
ES3,C00113,IT0001151,02-FEB-2015 12.00.00.000000000 AM,257138,112,12-FEB-2015 12.00.00.000000000 AM,21401047,112
ES3,C00113,IT0001076,02-FEB-2015 12.00.00.000000000 AM,257138,1000,06-FEB-2015 12.00.00.000000000 AM,21400888,250
ES3,C00113,IT0001076,02-FEB-2015 12.00.00.000000000 AM,257138,1000,12-FEB-2015 12.00.00.000000000 AM,21401047,250
ES3,C00154,IT0001088,04-FEB-2015 12.00.00.000000000 AM,257152,500,07-FEB-2015 12.00.00.000000000 AM,21400935,500
ES3,C00127,IT0001012,09-FEB-2015 12.00.00.000000000 AM,257155,500,10-FEB-2015 12.00.00.000000000 AM,21400971,500
ES3,C00315,IT0001012,10-FEB-2015 12.00.00.000000000 AM,257198,1000,13-FEB-2015 12.00.00.000000000 AM,21401109,500
ES3,C00315,IT0001012,10-FEB-2015 12.00.00.000000000 AM,257198,1000,22-FEB-2015 12.00.00.000000000 AM,21401432,250
ES3,C00315,IT0001088,10-FEB-2015 12.00.00.000000000 AM,257198,320,20-FEB-2015 12.00.00.000000000 AM,21401316,320
ES1,C00172,IT0001371,12-FEB-2015 12.00.00.000000000 AM,257215,16,15-FEB-2015 12.00.00.000000000 AM,21401093,16
ES3,C00277,IT0001113,15-FEB-2015 12.00.00.000000000 AM,257238,20,22-FEB-2015 12.00.00.000000000 AM,21401378,20
ES1,C00257,IT0001040,19-FEB-2015 12.00.00.000000000 AM,257261,72,23-FEB-2015 12.00.00.000000000 AM,21401377,72
ES1,C00301,IT0001415,23-FEB-2015 12.00.00.000000000 AM,257298,10,27-FEB-2015 12.00.00.000000000 AM,21401515,10
ES3,C00313,IT0001020,26-FEB-2015 12.00.00.000000000 AM,257324,480,27-FEB-2015 12.00.00.000000000 AM,21401522,320
ES3,C00115,IT0001012,25-NOV-2014 12.00.00.000000000 AM,256551,2500,29-JAN-2015 12.00.00.000000000 AM,21400705,1000
ES3,C00115,IT0001012,25-NOV-2014 12.00.00.000000000 AM,256551,2500,14-FEB-2015 12.00.00.000000000 AM,21401070,500
ES3,C00238,IT0001076,17-DEC-2014 12.00.00.000000000 AM,256820,1500,12-JAN-2015 12.00.00.000000000 AM,21400214,250
ES3,C00238,IT0001076,17-DEC-2014 12.00.00.000000000 AM,256820,1500,12-JAN-2015 12.00.00.000000000 AM,21400234,500
ES3,C00238,IT0001076,17-DEC-2014 12.00.00.000000000 AM,256820,1500,21-JAN-2015 12.00.00.000000000 AM,21400492,500
ES3,C00238,IT0001076,17-DEC-2014 12.00.00.000000000 AM,256820,1500,23-JAN-2015 12.00.00.000000000 AM,21400519,250
ES1,C00225,IT0001222,19-OCT-2014 12.00.00.000000000 AM,220859,624,13-JAN-2015 12.00.00.000000000 AM,21400252,624
ES1,C00225,IT0001233,29-OCT-2014 12.00.00.000000000 AM,220865,60,06-FEB-2015 12.00.00.000000000 AM,21400891,60
ES1,C00252,IT0001096,05-JAN-2015 12.00.00.000000000 AM,290311,2000,09-JAN-2015 12.00.00.000000000 AM,21400149,1600
ES1,C00252,IT0001096,05-JAN-2015 12.00.00.000000000 AM,290311,2000,15-JAN-2015 12.00.00.000000000 AM,21400301,400
ES1,C00252,IT0001016,05-JAN-2015 12.00.00.000000000 AM,290311,750,06-JAN-2015 12.00.00.000000000 AM,21400072,500
ES1,C00252,IT0001016,05-JAN-2015 12.00.00.000000000 AM,290311,750,30-JAN-2015 12.00.00.000000000 AM,21400701,250
ES1,C00156,IT0001116,15-JAN-2015 12.00.00.000000000 AM,290324,144,27-JAN-2015 12.00.00.000000000 AM,21400588,144
ES1,C00142,IT0001111,20-JAN-2015 12.00.00.000000000 AM,290330,29,25-JAN-2015 12.00.00.000000000 AM,21400508,29
ES1,C00252,IT0001096,25-JAN-2015 12.00.00.000000000 AM,290333,2500,30-JAN-2015 12.00.00.000000000 AM,21400703,800
ES1,C00252,IT0001096,25-JAN-2015 12.00.00.000000000 AM,290333,2500,01-FEB-2015 12.00.00.000000000 AM,21400740,1280
ES1,C00252,IT0001096,25-JAN-2015 12.00.00.000000000 AM,290333,2500,08-FEB-2015 12.00.00.000000000 AM,21400913,320
ES1,C00252,IT0001043,25-JAN-2015 12.00.00.000000000 AM,290333,100,16-FEB-2015 12.00.00.000000000 AM,21401122,100
ES1,C00252,IT0001096,25-JAN-2015 12.00.00.000000000 AM,290333,2500,16-FEB-2015 12.00.00.000000000 AM,21401122,100
ES1,C00370,IT0001433,25-JAN-2015 12.00.00.000000000 AM,290336,40,12-FEB-2015 12.00.00.000000000 AM,21401056,40
ES1,C00316,IT0001376,26-JAN-2015 12.00.00.000000000 AM,290337,318,22-FEB-2015 12.00.00.000000000 AM,21401348,318
ES1,C00316,IT0001371,26-JAN-2015 12.00.00.000000000 AM,290337,318,22-FEB-2015 12.00.00.000000000 AM,21401348,318
ES1,C00237,IT0001084,28-JAN-2015 12.00.00.000000000 AM,290344,250,05-FEB-2015 12.00.00.000000000 AM,21400833,250
ES1,C00245,IT0001133,01-FEB-2015 12.00.00.000000000 AM,290349,50,09-FEB-2015 12.00.00.000000000 AM,21400953,50
ES1,C00252,IT0001170,17-FEB-2015 12.00.00.000000000 AM,290364,100,22-FEB-2015 12.00.00.000000000 AM,21401327,100
ES1,C00252,IT0001096,17-FEB-2015 12.00.00.000000000 AM,290364,1750,25-FEB-2015 12.00.00.000000000 AM,21401410,1600
ES3,C00196,IT0001068,16-FEB-2015 12.00.00.000000000 AM,257244,72,23-FEB-2015 12.00.00.000000000 AM,21401374,72
ES1,C00102,IT0001020,19-FEB-2015 12.00.00.000000000 AM,257266,640,20-FEB-2015 12.00.00.000000000 AM,21401305,320
ES1,C00102,IT0001020,19-FEB-2015 12.00.00.000000000 AM,257266,640,24-FEB-2015 12.00.00.000000000 AM,21401392,160
ES1,C00259,IT0001076,22-FEB-2015 12.00.00.000000000 AM,257287,200,26-FEB-2015 12.00.00.000000000 AM,21401456,200
ES1,C00259,IT0001108,22-FEB-2015 12.00.00.000000000 AM,257287,10,26-FEB-2015 12.00.00.000000000 AM,21401456,10
ES3,C00335,IT0001113,22-FEB-2015 12.00.00.000000000 AM,257290,72,24-FEB-2015 12.00.00.000000000 AM,21401402,72
ES3,C00313,IT0001012,23-FEB-2015 12.00.00.000000000 AM,257302,250,27-FEB-2015 12.00.00.000000000 AM,21401521,250
ES3,C00313,IT0001068,23-FEB-2015 12.00.00.000000000 AM,257302,72,25-FEB-2015 12.00.00.000000000 AM,21401464,72
ES3,C00316,IT0001076,23-FEB-2015 12.00.00.000000000 AM,257306,750,26-FEB-2015 12.00.00.000000000 AM,21401469,500
ES3,C00127,IT0001020,13-JAN-2015 12.00.00.000000000 AM,256991,1600,14-JAN-2015 12.00.00.000000000 AM,21400296,480
ES3,C00127,IT0001020,13-JAN-2015 12.00.00.000000000 AM,256991,1600,22-JAN-2015 12.00.00.000000000 AM,21400491,160
ES3,C00127,IT0001020,13-JAN-2015 12.00.00.000000000 AM,256991,1600,30-JAN-2015 12.00.00.000000000 AM,21400714,160
ES3,C00127,IT0001020,13-JAN-2015 12.00.00.000000000 AM,256991,1600,02-FEB-2015 12.00.00.000000000 AM,21400742,160
ES3,C00127,IT0001020,13-JAN-2015 12.00.00.000000000 AM,256991,1600,06-FEB-2015 12.00.00.000000000 AM,21400890,160
ES3,C00127,IT0001020,13-JAN-2015 12.00.00.000000000 AM,256991,1600,11-FEB-2015 12.00.00.000000000 AM,21401024,160
ES3,C00127,IT0001020,13-JAN-2015 12.00.00.000000000 AM,256991,1600,16-FEB-2015 12.00.00.000000000 AM,21401116,320
ES1,C00240,IT0001012,14-JAN-2015 12.00.00.000000000 AM,256994,1500,18-JAN-2015 12.00.00.000000000 AM,21400370,500
ES1,C00240,IT0001012,14-JAN-2015 12.00.00.000000000 AM,256994,1500,27-JAN-2015 12.00.00.000000000 AM,21400609,250
ES1,C00240,IT0001012,14-JAN-2015 12.00.00.000000000 AM,256994,1500,27-JAN-2015 12.00.00.000000000 AM,21400636,750
ES1,C00240,IT0001068,14-JAN-2015 12.00.00.000000000 AM,256994,72,18-JAN-2015 12.00.00.000000000 AM,21400370,72
ES3,C00196,IT0001020,15-JAN-2015 12.00.00.000000000 AM,257010,320,16-JAN-2015 12.00.00.000000000 AM,21400366,320
ES3,C00115,IT0001076,04-FEB-2015 12.00.00.000000000 AM,257014,2500,23-FEB-2015 12.00.00.000000000 AM,21401349,500
ES3,C00115,IT0001076,04-FEB-2015 12.00.00.000000000 AM,257014,2500,27-FEB-2015 12.00.00.000000000 AM,21401489,250
ES3,C00115,IT0001113,04-FEB-2015 12.00.00.000000000 AM,257014,288,27-FEB-2015 12.00.00.000000000 AM,21401489,72
ES1,C00102,IT0001471,16-JAN-2015 12.00.00.000000000 AM,257017,50,21-JAN-2015 12.00.00.000000000 AM,21400465,10
ES1,C00102,IT0001471,16-JAN-2015 12.00.00.000000000 AM,257017,50,28-JAN-2015 12.00.00.000000000 AM,21400677,20
ES1,C00102,IT0001471,16-JAN-2015 12.00.00.000000000 AM,257017,50,18-FEB-2015 12.00.00.000000000 AM,21401235,2
ES1,C00102,IT0001471,16-JAN-2015 12.00.00.000000000 AM,257017,50,24-FEB-2015 12.00.00.000000000 AM,21401390,18
ES1,C00110,IT0001124,18-JAN-2015 12.00.00.000000000 AM,257021,104,21-JAN-2015 12.00.00.000000000 AM,21400467,104
ES1,C00238,IT0001476,19-JAN-2015 12.00.00.000000000 AM,257028,25,16-FEB-2015 12.00.00.000000000 AM,21401160,25
ES1,C00342,IT0001371,21-JAN-2015 12.00.00.000000000 AM,257037,10,26-JAN-2015 12.00.00.000000000 AM,21400582,10
ES3,C00354,IT0001020,21-JAN-2015 12.00.00.000000000 AM,257038,640,22-JAN-2015 12.00.00.000000000 AM,21400503,160
ES3,C00354,IT0001020,21-JAN-2015 12.00.00.000000000 AM,257038,640,23-JAN-2015 12.00.00.000000000 AM,21400530,160
ES3,C00354,IT0001020,21-JAN-2015 12.00.00.000000000 AM,257038,640,02-FEB-2015 12.00.00.000000000 AM,21400771,320
ES3,C00287,IT0001170,23-JAN-2015 12.00.00.000000000 AM,257057,24,30-JAN-2015 12.00.00.000000000 AM,21400736,24
ES3,C00287,IT0001151,23-JAN-2015 12.00.00.000000000 AM,257057,40,30-JAN-2015 12.00.00.000000000 AM,21400736,40
ES3,C00128,IT0001076,23-JAN-2015 12.00.00.000000000 AM,257060,500,26-JAN-2015 12.00.00.000000000 AM,21400565,250
ES3,C00128,IT0001076,23-JAN-2015 12.00.00.000000000 AM,257060,500,27-JAN-2015 12.00.00.000000000 AM,21400608,250
ES1,C00301,IT0001433,27-JAN-2015 12.00.00.000000000 AM,257078,13,14-FEB-2015 12.00.00.000000000 AM,21401098,13
ES3,C00111,IT0001357,27-JAN-2015 12.00.00.000000000 AM,257081,2,27-JAN-2015 12.00.00.000000000 AM,21400604,2
ES1,C00259,IT0001088,02-FEB-2015 12.00.00.000000000 AM,257093,200,03-FEB-2015 12.00.00.000000000 AM,21400795,200
ES1,C00313,IT0001151,29-JAN-2015 12.00.00.000000000 AM,257097,240,09-FEB-2015 12.00.00.000000000 AM,21401008,64
ES1,C00313,IT0001151,29-JAN-2015 12.00.00.000000000 AM,257097,240,15-FEB-2015 12.00.00.000000000 AM,21401174,144
ES1,C00313,IT0001151,29-JAN-2015 12.00.00.000000000 AM,257097,240,25-FEB-2015 12.00.00.000000000 AM,21401461,32
ES1,C00313,IT0001133,29-JAN-2015 12.00.00.000000000 AM,257097,80,06-FEB-2015 12.00.00.000000000 AM,21400899,40
ES3,C00205,IT0001040,30-JAN-2015 12.00.00.000000000 AM,257101,72,02-FEB-2015 12.00.00.000000000 AM,21400757,72
ES3,C00128,IT0001088,30-JAN-2015 12.00.00.000000000 AM,257104,640,09-FEB-2015 12.00.00.000000000 AM,21400957,160
ES3,C00128,IT0001088,30-JAN-2015 12.00.00.000000000 AM,257104,640,11-FEB-2015 12.00.00.000000000 AM,21401031,320
ES3,C00128,IT0001088,30-JAN-2015 12.00.00.000000000 AM,257104,640,15-FEB-2015 12.00.00.000000000 AM,21401146,160
ES3,C00335,IT0001076,01-FEB-2015 12.00.00.000000000 AM,257116,250,04-FEB-2015 12.00.00.000000000 AM,21400829,250
ES3,C00335,IT0001033,01-FEB-2015 12.00.00.000000000 AM,257116,130,04-FEB-2015 12.00.00.000000000 AM,21400829,130
ES3,C00246,IT0001020,03-FEB-2015 12.00.00.000000000 AM,257120,320,17-FEB-2015 12.00.00.000000000 AM,21401195,160
ES3,C00246,IT0001088,03-FEB-2015 12.00.00.000000000 AM,257120,640,06-FEB-2015 12.00.00.000000000 AM,21400894,320
ES1,C00257,IT0001088,02-FEB-2015 12.00.00.000000000 AM,257124,320,16-FEB-2015 12.00.00.000000000 AM,21401161,160
ES1,C00257,IT0001088,02-FEB-2015 12.00.00.000000000 AM,257124,320,23-FEB-2015 12.00.00.000000000 AM,21401366,160
ES1,C00257,IT0001159,02-FEB-2015 12.00.00.000000000 AM,257124,24,05-FEB-2015 12.00.00.000000000 AM,21400867,24
ES1,C00313,IT0001371,05-FEB-2015 12.00.00.000000000 AM,257139,25,13-FEB-2015 12.00.00.000000000 AM,21401105,25
ES3,C00196,IT0001020,03-FEB-2015 12.00.00.000000000 AM,257143,160,09-FEB-2015 12.00.00.000000000 AM,21400994,160
ES3,C00316,IT0001076,05-FEB-2015 12.00.00.000000000 AM,257161,250,19-FEB-2015 12.00.00.000000000 AM,21401282,250
ES1,C00312,IT0001414,09-FEB-2015 12.00.00.000000000 AM,257180,5,16-FEB-2015 12.00.00.000000000 AM,21401167,5
ES3,C00314,IT0001088,10-FEB-2015 12.00.00.000000000 AM,257181,320,27-FEB-2015 12.00.00.000000000 AM,21401523,160
ES1,C00315,IT0001499,10-FEB-2015 12.00.00.000000000 AM,257199,60,16-FEB-2015 12.00.00.000000000 AM,21401181,1
ES1,C00315,IT0001406,10-FEB-2015 12.00.00.000000000 AM,257199,14,13-FEB-2015 12.00.00.000000000 AM,21401110,14
ES3,C00313,IT0001088,10-FEB-2015 12.00.00.000000000 AM,257200,320,13-FEB-2015 12.00.00.000000000 AM,21401108,320
ES3,C00128,IT0001012,11-FEB-2015 12.00.00.000000000 AM,257207,500,14-FEB-2015 12.00.00.000000000 AM,21401090,500
ES1,C00186,IT0001012,27-OCT-2014 12.00.00.000000000 AM,256489,2250,14-JAN-2015 12.00.00.000000000 AM,21400281,500
ES1,C00186,IT0001012,27-OCT-2014 12.00.00.000000000 AM,256489,2250,23-JAN-2015 12.00.00.000000000 AM,21400495,750
ES1,C00257,IT0001076,08-DEC-2014 12.00.00.000000000 AM,256736,750,19-JAN-2015 12.00.00.000000000 AM,21400414,250
ES1,C00102,IT0001076,19-DEC-2014 12.00.00.000000000 AM,256828,1250,18-JAN-2015 12.00.00.000000000 AM,21400360,250
ES1,C00102,IT0001076,19-DEC-2014 12.00.00.000000000 AM,256828,1250,21-JAN-2015 12.00.00.000000000 AM,21400461,250
ES1,C00102,IT0001076,19-DEC-2014 12.00.00.000000000 AM,256828,1250,25-JAN-2015 12.00.00.000000000 AM,21400509,250
ES1,C00102,IT0001076,19-DEC-2014 12.00.00.000000000 AM,256828,1250,28-JAN-2015 12.00.00.000000000 AM,21400674,250
ES1,C00102,IT0001076,19-DEC-2014 12.00.00.000000000 AM,256828,1250,18-FEB-2015 12.00.00.000000000 AM,21401232,250
ES3,C00351,IT0001280,30-DEC-2014 12.00.00.000000000 AM,256895,170,20-JAN-2015 12.00.00.000000000 AM,21400449,170
ES3,C00196,IT0001012,04-JAN-2015 12.00.00.000000000 AM,256907,1000,05-JAN-2015 12.00.00.000000000 AM,21400085,1000
ES3,C00354,IT0001012,04-JAN-2015 12.00.00.000000000 AM,256914,750,15-JAN-2015 12.00.00.000000000 AM,21400330,500
ES3,C00354,IT0001012,04-JAN-2015 12.00.00.000000000 AM,256914,750,22-JAN-2015 12.00.00.000000000 AM,21400502,250
ES1,C00311,IT0001012,08-JAN-2015 12.00.00.000000000 AM,256952,1000,09-JAN-2015 12.00.00.000000000 AM,21400170,500
ES1,C00311,IT0001012,08-JAN-2015 12.00.00.000000000 AM,256952,1000,12-JAN-2015 12.00.00.000000000 AM,21400218,250
ES1,C00311,IT0001012,08-JAN-2015 12.00.00.000000000 AM,256952,1000,16-JAN-2015 12.00.00.000000000 AM,21400379,250
ES1,C00311,IT0001012,08-JAN-2015 12.00.00.000000000 AM,256952,750,15-JAN-2015 12.00.00.000000000 AM,21400319,250
ES1,C00311,IT0001012,08-JAN-2015 12.00.00.000000000 AM,256952,750,28-JAN-2015 12.00.00.000000000 AM,21400642,500
ES1,C00257,IT0001088,08-JAN-2015 12.00.00.000000000 AM,256953,320,09-JAN-2015 12.00.00.000000000 AM,21400169,320
ES1,C00257,IT0001068,08-JAN-2015 12.00.00.000000000 AM,256953,72,09-JAN-2015 12.00.00.000000000 AM,21400169,72
ES3,C00113,IT0001020,08-JAN-2015 12.00.00.000000000 AM,256955,640,18-JAN-2015 12.00.00.000000000 AM,21400362,160
ES3,C00113,IT0001113,08-JAN-2015 12.00.00.000000000 AM,256955,72,09-JAN-2015 12.00.00.000000000 AM,21400158,72
ES3,C00113,IT0001020,08-JAN-2015 12.00.00.000000000 AM,256955,640,09-JAN-2015 12.00.00.000000000 AM,21400158,320
ES3,C00113,IT0001020,08-JAN-2015 12.00.00.000000000 AM,256955,640,14-JAN-2015 12.00.00.000000000 AM,21400272,160
ES1,C00238,IT0001020,09-JAN-2015 12.00.00.000000000 AM,256970,640,30-JAN-2015 12.00.00.000000000 AM,21400733,160
ES1,C00238,IT0001020,09-JAN-2015 12.00.00.000000000 AM,256970,640,02-FEB-2015 12.00.00.000000000 AM,21400758,320
ES1,C00238,IT0001020,09-JAN-2015 12.00.00.000000000 AM,256970,640,03-FEB-2015 12.00.00.000000000 AM,21400790,160
ES3,C00277,IT0001088,09-JAN-2015 12.00.00.000000000 AM,256971,640,20-JAN-2015 12.00.00.000000000 AM,21400430,640
ES3,C00314,IT0001012,09-JAN-2015 12.00.00.000000000 AM,256975,2500,25-JAN-2015 12.00.00.000000000 AM,21400528,750
ES3,C00314,IT0001012,09-JAN-2015 12.00.00.000000000 AM,256975,2000,17-FEB-2015 12.00.00.000000000 AM,21401206,500
ES3,C00314,IT0001012,09-JAN-2015 12.00.00.000000000 AM,256975,2000,22-FEB-2015 12.00.00.000000000 AM,21401337,500
ES3,C00314,IT0001012,09-JAN-2015 12.00.00.000000000 AM,256975,2000,25-FEB-2015 12.00.00.000000000 AM,21401430,250
ES3,C00314,IT0001012,09-JAN-2015 12.00.00.000000000 AM,256975,2000,12-FEB-2015 12.00.00.000000000 AM,21401068,500
ES3,C00314,IT0001012,09-JAN-2015 12.00.00.000000000 AM,256975,2500,02-FEB-2015 12.00.00.000000000 AM,21400768,500
ES3,C00314,IT0001012,09-JAN-2015 12.00.00.000000000 AM,256975,2500,05-FEB-2015 12.00.00.000000000 AM,21400877,500
ES3,C00314,IT0001012,09-JAN-2015 12.00.00.000000000 AM,256975,2500,10-FEB-2015 12.00.00.000000000 AM,21401016,500
ES3,C00314,IT0001012,09-JAN-2015 12.00.00.000000000 AM,256975,2500,12-FEB-2015 12.00.00.000000000 AM,21401068,250
ES1,C00197,IT0001329,11-FEB-2015 12.00.00.000000000 AM,280303,10,11-FEB-2015 12.00.00.000000000 AM,21401026,10
ES1,C00116,IT0001159,10-DEC-2014 12.00.00.000000000 AM,290281,1000,04-JAN-2015 12.00.00.000000000 AM,21400007,276
ES1,C00327,IT0001433,14-DEC-2014 12.00.00.000000000 AM,290284,34,06-JAN-2015 12.00.00.000000000 AM,21400065,34
ES1,C00173,IT0001038,17-DEC-2014 12.00.00.000000000 AM,290289,120,12-JAN-2015 12.00.00.000000000 AM,21400187,100
ES1,C00173,IT0001038,17-DEC-2014 12.00.00.000000000 AM,290289,120,30-JAN-2015 12.00.00.000000000 AM,21400707,20
ES1,C00173,IT0001018,17-DEC-2014 12.00.00.000000000 AM,290289,1900,07-JAN-2015 12.00.00.000000000 AM,21400088,500
