,ORDERDATE,DELIVEREDQUANTITY
10146,17-12-2014,250
10155,17-12-2014,250
10200,17-12-2014,500
10201,17-12-2014,500
10217,18-12-2014,250
10236,18-12-2014,500
10239,18-12-2014,500
10240,18-12-2014,500
10241,18-12-2014,1000
10247,18-12-2014,750
10267,19-12-2014,1000
10268,19-12-2014,1000
10275,19-12-2014,750
10277,19-12-2014,500
10291,21-12-2014,250
10292,21-12-2014,250
10303,21-12-2014,250
10340,22-12-2014,750
10348,22-12-2014,250
10349,22-12-2014,750
10363,22-12-2014,250
10374,23-12-2014,1000
10379,23-12-2014,750
10396,23-12-2014,250
10410,24-12-2014,250
10414,24-12-2014,750
10416,24-12-2014,500
10417,24-12-2014,250
10422,25-12-2014,750
10427,26-12-2014,250
10428,26-12-2014,250
10429,26-12-2014,250
10436,26-12-2014,250
10445,28-12-2014,250
10451,28-12-2014,1000
10452,28-12-2014,1000
10461,28-12-2014,1000
10462,28-12-2014,1000
10463,28-12-2014,250
10464,28-12-2014,250
10465,28-12-2014,1000
10466,28-12-2014,250
10467,28-12-2014,250
10485,29-12-2014,250
10486,29-12-2014,500
10490,29-12-2014,500
10497,29-12-2014,250
10498,29-12-2014,1000
10499,29-12-2014,500
10500,29-12-2014,250
10503,29-12-2014,1000
10504,29-12-2014,500
10505,30-12-2014,250
10515,30-12-2014,750
10516,30-12-2014,250
10517,30-12-2014,250
10524,04-01-2015,500
10525,04-01-2015,500
10526,04-01-2015,1000
10543,04-01-2015,500
10561,04-01-2015,1000
10562,04-01-2015,500
10563,04-01-2015,250
10582,05-01-2015,1000
10606,05-01-2015,500
10607,05-01-2015,250
10608,05-01-2015,1000
10609,05-01-2015,750
10624,05-01-2015,1000
10627,06-01-2015,250
10628,06-01-2015,500
10629,06-01-2015,750
10630,06-01-2015,750
10631,06-01-2015,250
10632,06-01-2015,500
10633,06-01-2015,250
10634,06-01-2015,250
10635,06-01-2015,500
10636,06-01-2015,750
10637,06-01-2015,250
10639,06-01-2015,250
10643,06-01-2015,250
10650,06-01-2015,500
10651,06-01-2015,250
10652,06-01-2015,250
10653,06-01-2015,250
10675,06-01-2015,750
10676,06-01-2015,750
10693,07-01-2015,500
10694,07-01-2015,250
10695,07-01-2015,500
10696,07-01-2015,250
10704,07-01-2015,250
10705,07-01-2015,250
10740,08-01-2015,250
10743,08-01-2015,250
10746,08-01-2015,250
10747,08-01-2015,750
10748,08-01-2015,250
10749,08-01-2015,250
10752,08-01-2015,750
10753,08-01-2015,250
10754,08-01-2015,1000
10768,08-01-2015,500
10769,08-01-2015,250
10770,08-01-2015,250
10771,08-01-2015,250
10772,08-01-2015,500
10788,09-01-2015,250
10789,09-01-2015,250
10797,09-01-2015,500
10798,09-01-2015,500
10799,09-01-2015,250
10800,09-01-2015,750
10801,09-01-2015,250
10823,09-01-2015,250
10824,09-01-2015,750
10825,09-01-2015,250
10826,09-01-2015,500
10827,09-01-2015,500
10867,09-01-2015,250
10868,09-01-2015,750
10869,09-01-2015,750
10870,09-01-2015,500
10871,09-01-2015,250
10878,09-01-2015,750
10879,09-01-2015,500
10880,09-01-2015,500
10881,09-01-2015,250
10882,09-01-2015,250
10883,09-01-2015,500
10884,09-01-2015,500
10885,09-01-2015,500
10886,09-01-2015,500
10887,09-01-2015,250
10892,12-01-2015,500
10893,12-01-2015,250
10894,12-01-2015,250
10898,12-01-2015,500
10899,12-01-2015,250
10900,12-01-2015,500
10931,13-01-2015,500
10944,13-01-2015,1000
10945,13-01-2015,500
10946,13-01-2015,750
10947,13-01-2015,500
10948,13-01-2015,250
10958,13-01-2015,250
10981,14-01-2015,250
10985,14-01-2015,250
10986,14-01-2015,250
10987,14-01-2015,500
10998,14-01-2015,500
10999,14-01-2015,250
11008,14-01-2015,500
11009,14-01-2015,250
11010,14-01-2015,750
11072,15-01-2015,250
11073,15-01-2015,250
11115,18-01-2015,500
11116,18-01-2015,750
11117,18-01-2015,500
11118,18-01-2015,500
11119,18-01-2015,250
11156,18-01-2015,500
11157,18-01-2015,250
11158,18-01-2015,250
11159,18-01-2015,1000
11160,18-01-2015,250
11161,18-01-2015,250
11185,19-01-2015,250
11186,19-01-2015,500
11187,19-01-2015,500
11188,19-01-2015,500
11189,19-01-2015,500
11190,19-01-2015,500
11191,19-01-2015,250
11192,19-01-2015,250
11223,19-01-2015,1000
11271,21-01-2015,500
11272,21-01-2015,250
11273,21-01-2015,250
11279,21-01-2015,500
11284,21-01-2015,250
11285,21-01-2015,500
11286,21-01-2015,750
11309,22-01-2015,250
11326,23-01-2015,500
11327,23-01-2015,250
11396,25-01-2015,250
11397,25-01-2015,250
11398,25-01-2015,250
11438,25-01-2015,250
11439,25-01-2015,500
11489,27-01-2015,250
11490,27-01-2015,500
11492,27-01-2015,1250
11496,27-01-2015,250
11497,27-01-2015,500
11498,27-01-2015,250
11499,27-01-2015,500
11515,27-01-2015,500
11534,27-01-2015,500
11535,27-01-2015,250
11536,27-01-2015,750
11546,28-01-2015,500
11547,28-01-2015,500
11554,28-01-2015,250
11555,28-01-2015,250
11580,28-01-2015,500
11598,29-01-2015,250
11603,29-01-2015,500
11616,29-01-2015,500
11617,29-01-2015,250
11626,30-01-2015,500
11684,01-02-2015,750
11689,01-02-2015,750
11690,01-02-2015,500
11691,01-02-2015,500
11733,02-02-2015,250
11734,02-02-2015,250
11736,02-02-2015,250
11737,02-02-2015,250
11757,02-02-2015,500
11758,02-02-2015,250
11759,02-02-2015,250
11760,02-02-2015,250
11761,02-02-2015,250
11765,02-02-2015,500
11766,02-02-2015,500
11767,02-02-2015,250
11768,02-02-2015,250
11769,02-02-2015,500
11792,02-02-2015,250
11793,02-02-2015,250
11800,03-02-2015,250
11816,03-02-2015,250
11817,03-02-2015,250
11818,03-02-2015,250
11825,04-02-2015,750
11826,04-02-2015,500
11886,05-02-2015,250
11887,05-02-2015,1000
11888,05-02-2015,250
11892,05-02-2015,750
11893,05-02-2015,250
11894,05-02-2015,250
11895,05-02-2015,250
11911,06-02-2015,1000
11916,06-02-2015,250
11917,06-02-2015,250
11929,06-02-2015,250
11973,08-02-2015,750
11974,08-02-2015,750
11995,08-02-2015,500
11996,08-02-2015,500
11997,08-02-2015,500
11998,08-02-2015,250
11999,08-02-2015,250
12000,08-02-2015,500
12018,09-02-2015,250
12019,09-02-2015,500
12020,09-02-2015,500
12021,09-02-2015,1250
12032,09-02-2015,500
12033,09-02-2015,750
12034,09-02-2015,750
12035,09-02-2015,500
12064,09-02-2015,250
12074,09-02-2015,1000
12075,09-02-2015,250
12076,09-02-2015,750
12077,09-02-2015,500
12078,09-02-2015,250
12079,09-02-2015,250
12080,09-02-2015,250
12081,09-02-2015,250
12082,09-02-2015,500
12090,09-02-2015,500
12097,10-02-2015,500
12098,10-02-2015,500
12099,10-02-2015,500
12103,10-02-2015,250
12104,10-02-2015,500
12105,10-02-2015,500
12106,10-02-2015,250
12107,10-02-2015,250
12108,10-02-2015,250
12109,10-02-2015,250
12110,10-02-2015,750
12132,10-02-2015,750
12133,10-02-2015,250
12156,10-02-2015,500
12157,10-02-2015,250
12158,10-02-2015,250
12182,11-02-2015,500
12192,11-02-2015,250
12199,11-02-2015,500
12254,13-02-2015,250
12255,13-02-2015,750
12256,13-02-2015,1000
12263,13-02-2015,500
12264,13-02-2015,750
12265,13-02-2015,250
12267,13-02-2015,250
12297,13-02-2015,250
12298,13-02-2015,500
12299,13-02-2015,250
12300,13-02-2015,500
12340,15-02-2015,250
12341,15-02-2015,500
12342,15-02-2015,250
12350,15-02-2015,750
12351,15-02-2015,500
12352,15-02-2015,250
12365,16-02-2015,500
12366,16-02-2015,750
12367,16-02-2015,500
12368,16-02-2015,750
12369,16-02-2015,500
12372,16-02-2015,500
12373,16-02-2015,500
12374,16-02-2015,750
12375,16-02-2015,250
12379,16-02-2015,250
12380,16-02-2015,750
12382,16-02-2015,500
12383,16-02-2015,500
12384,16-02-2015,500
12396,16-02-2015,750
12397,16-02-2015,500
12398,16-02-2015,250
12399,16-02-2015,500
12401,16-02-2015,500
12402,16-02-2015,500
12403,16-02-2015,500
12433,17-02-2015,250
12434,17-02-2015,250
12435,17-02-2015,250
12462,17-02-2015,250
12490,19-02-2015,250
12491,19-02-2015,500
12492,19-02-2015,250
12499,19-02-2015,250
12500,19-02-2015,250
12523,19-02-2015,750
12533,19-02-2015,750
12534,19-02-2015,250
12540,19-02-2015,250
12579,22-02-2015,500
12580,22-02-2015,500
12581,22-02-2015,250
12582,22-02-2015,250
12583,22-02-2015,250
12598,22-02-2015,1000
12615,22-02-2015,250
12616,22-02-2015,500
12617,22-02-2015,500
12618,22-02-2015,750
12620,23-02-2015,250
12621,23-02-2015,500
12622,23-02-2015,750
12623,23-02-2015,500
12627,23-02-2015,500
12628,23-02-2015,250
12629,23-02-2015,500
12637,23-02-2015,250
12638,23-02-2015,250
12647,23-02-2015,250
12668,23-02-2015,250
12677,24-02-2015,750
12678,24-02-2015,250
12690,24-02-2015,500
12691,24-02-2015,250
12692,24-02-2015,500
12705,24-02-2015,250
12708,25-02-2015,500
12709,25-02-2015,250
12710,25-02-2015,500
12711,25-02-2015,750
12715,25-02-2015,500
12716,25-02-2015,1500
12717,25-02-2015,500
12718,25-02-2015,500
12772,26-02-2015,500
12773,26-02-2015,250
12774,26-02-2015,250
12802,01-03-2015,500
12803,01-03-2015,250
12804,01-03-2015,250
12805,01-03-2015,1000
12806,01-03-2015,250
12807,01-03-2015,750
12847,02-03-2015,250
12855,02-03-2015,250
12888,04-03-2015,250
12889,04-03-2015,750
12970,05-03-2015,250
12971,05-03-2015,500
12972,05-03-2015,500
12973,05-03-2015,1000
12974,05-03-2015,250
12995,06-03-2015,250
12997,06-03-2015,500
12998,06-03-2015,500
12999,06-03-2015,500
13000,06-03-2015,500
13001,06-03-2015,500
13004,06-03-2015,500
13005,06-03-2015,500
13006,06-03-2015,500
13021,06-03-2015,250
13022,06-03-2015,750
13047,08-03-2015,500
13048,08-03-2015,500
13052,08-03-2015,750
13060,08-03-2015,250
13063,08-03-2015,1000
13086,09-03-2015,250
13104,09-03-2015,250
13105,10-03-2015,250
13106,10-03-2015,500
13107,10-03-2015,250
13108,10-03-2015,500
13109,10-03-2015,250
13122,10-03-2015,250
13123,10-03-2015,500
13124,10-03-2015,500
13125,10-03-2015,250
13126,10-03-2015,250
13127,10-03-2015,250
13151,10-03-2015,500
13165,10-03-2015,500
13166,10-03-2015,250
13167,10-03-2015,500
13168,10-03-2015,500
13169,10-03-2015,250
13186,10-03-2015,750
13187,10-03-2015,250
13197,11-03-2015,250
13198,11-03-2015,250
13224,11-03-2015,250
13225,11-03-2015,500
13239,12-03-2015,250
13240,12-03-2015,250
13241,12-03-2015,250
13257,12-03-2015,1250
13258,12-03-2015,750
13284,13-03-2015,250
13310,16-03-2015,250
13311,16-03-2015,750
13323,16-03-2015,250
13324,16-03-2015,750
13347,17-03-2015,750
13348,17-03-2015,250
13365,17-03-2015,250
13366,17-03-2015,500
13367,17-03-2015,250
13383,18-03-2015,-250
13393,18-03-2015,250
13434,19-03-2015,500
13435,19-03-2015,250
13437,19-03-2015,250
13438,19-03-2015,500
13482,20-03-2015,500
13539,22-03-2015,500
13542,22-03-2015,750
13543,22-03-2015,250
13551,23-03-2015,500
13552,23-03-2015,1000
13561,23-03-2015,750
13562,23-03-2015,250
13566,23-03-2015,250
13568,23-03-2015,750
13569,23-03-2015,250
13573,23-03-2015,1000
13574,23-03-2015,750
13588,24-03-2015,500
13589,24-03-2015,250
13595,24-03-2015,250
13597,25-03-2015,1000
13598,25-03-2015,500
13603,25-03-2015,250
13604,25-03-2015,250
13613,25-03-2015,500
13614,25-03-2015,250
13617,25-03-2015,250
13625,25-03-2015,1000
13641,26-03-2015,500
13675,27-03-2015,500
13721,27-03-2015,250
13722,27-03-2015,250
13723,27-03-2015,500
13724,27-03-2015,250
13725,27-03-2015,250
13745,29-03-2015,750
13758,29-03-2015,1000
13759,29-03-2015,500
13795,29-03-2015,750
13812,30-03-2015,250
13813,30-03-2015,250
13823,30-03-2015,1250
13824,30-03-2015,250
13829,31-03-2015,250
13833,31-03-2015,250
13834,31-03-2015,500
13835,31-03-2015,500
13843,31-03-2015,100
13858,31-03-2015,1000
13865,31-03-2015,500
13876,01-04-2015,500
13881,01-04-2015,500
13922,02-04-2015,250
13935,02-04-2015,250
13938,02-04-2015,500
13939,02-04-2015,250
13940,02-04-2015,500
13946,02-04-2015,250
13967,02-04-2015,1250
13968,02-04-2015,250
13969,02-04-2015,1000
13970,02-04-2015,1000
13971,02-04-2015,750
13992,02-04-2015,500
13993,02-04-2015,500
13998,02-04-2015,-1000
14016,05-04-2015,250
14017,05-04-2015,500
14018,05-04-2015,250
14019,05-04-2015,500
14032,05-04-2015,750
14056,05-04-2015,750
14057,05-04-2015,250
14058,05-04-2015,250
14059,05-04-2015,250
14060,05-04-2015,500
14065,06-04-2015,250
14102,06-04-2015,250
14108,06-04-2015,500
14139,07-04-2015,500
14151,07-04-2015,250
14165,07-04-2015,250
14166,07-04-2015,1000
14167,07-04-2015,250
14168,07-04-2015,500
14169,07-04-2015,500
14170,07-04-2015,500
14171,07-04-2015,250
14178,08-04-2015,750
14230,09-04-2015,500
14235,09-04-2015,250
14236,09-04-2015,1750
14252,09-04-2015,1750
14253,09-04-2015,250
14279,10-04-2015,1250
14281,12-04-2015,500
14282,12-04-2015,500
14304,13-04-2015,250
14305,13-04-2015,250
14306,13-04-2015,500
14307,13-04-2015,750
14319,13-04-2015,250
14338,13-04-2015,500
14342,13-04-2015,750
14343,13-04-2015,750
14356,13-04-2015,250
14357,13-04-2015,250
14358,13-04-2015,250
14359,13-04-2015,500
14392,14-04-2015,1000
14394,15-04-2015,1000
14395,15-04-2015,500
14411,15-04-2015,500
14412,15-04-2015,500
14421,16-04-2015,250
14422,16-04-2015,500
14423,16-04-2015,250
14471,17-04-2015,250
14472,17-04-2015,250
14499,19-04-2015,250
14500,19-04-2015,250
14503,19-04-2015,250
14506,19-04-2015,500
14507,19-04-2015,250
14508,19-04-2015,250
14517,19-04-2015,250
14519,19-04-2015,500
14544,19-04-2015,500
14545,19-04-2015,250
14546,19-04-2015,250
14559,19-04-2015,1250
14560,19-04-2015,250
14564,20-04-2015,250
14565,20-04-2015,250
14596,21-04-2015,250
14615,22-04-2015,35
14620,22-04-2015,2000
14621,22-04-2015,500
14622,22-04-2015,500
14641,23-04-2015,1500
14648,23-04-2015,500
14650,23-04-2015,250
14669,24-04-2015,750
14670,24-04-2015,250
14689,24-04-2015,500
14690,24-04-2015,250
14691,24-04-2015,250
14692,24-04-2015,500
14700,26-04-2015,750
14701,26-04-2015,500
14702,26-04-2015,250
14705,26-04-2015,500
14706,26-04-2015,500
14707,26-04-2015,500
14708,26-04-2015,500
14709,26-04-2015,500
14710,26-04-2015,250
14711,26-04-2015,500
14712,26-04-2015,250
14713,26-04-2015,500
14714,26-04-2015,250
14715,26-04-2015,500
14716,26-04-2015,1000
14758,26-04-2015,500
14759,26-04-2015,750
14760,26-04-2015,500
14761,26-04-2015,500
14762,26-04-2015,1000
14763,26-04-2015,500
14764,26-04-2015,1000
14767,26-04-2015,250
14773,26-04-2015,500
14774,26-04-2015,500
14775,26-04-2015,250
14828,28-04-2015,250
14829,28-04-2015,1500
14830,28-04-2015,500
14831,28-04-2015,750
14860,28-04-2015,500
14875,28-04-2015,1250
14876,28-04-2015,250
14878,28-04-2015,500
14879,28-04-2015,250
14900,29-04-2015,1250
14935,30-04-2015,1500
14949,30-04-2015,750
14956,30-04-2015,1500
14957,30-04-2015,500
14964,30-04-2015,1000
14965,30-04-2015,250
14966,30-04-2015,500
14977,30-04-2015,1000
14982,01-05-2015,2000
14990,03-05-2015,2000
14991,03-05-2015,1000
14992,03-05-2015,750
15003,03-05-2015,500
15004,03-05-2015,1000
15005,03-05-2015,1000
15006,03-05-2015,500
15008,03-05-2015,250
15009,03-05-2015,250
15010,03-05-2015,250
15035,03-05-2015,1000
15036,03-05-2015,250
15037,03-05-2015,500
15038,03-05-2015,750
15039,03-05-2015,750
15040,03-05-2015,250
15041,03-05-2015,750
15042,03-05-2015,1500
15043,03-05-2015,1000
15053,03-05-2015,250
15054,03-05-2015,250
15067,04-05-2015,1000
15096,05-05-2015,1000
15097,05-05-2015,750
15104,05-05-2015,250
15105,05-05-2015,250
15106,05-05-2015,500
15144,06-05-2015,1250
15145,06-05-2015,1250
15146,06-05-2015,250
15147,06-05-2015,250
15148,06-05-2015,500
15177,06-05-2015,250
15198,06-05-2015,750
15205,07-05-2015,250
15232,08-05-2015,1000
15233,08-05-2015,250
15234,08-05-2015,250
15248,09-05-2015,250
15249,09-05-2015,1000
15271,10-05-2015,750
15272,10-05-2015,250
15273,10-05-2015,750
15281,10-05-2015,250
15313,13-05-2015,500
15335,14-05-2015,250
15338,14-05-2015,250
15339,14-05-2015,250
15363,14-05-2015,750
15364,14-05-2015,500
15383,14-05-2015,500
15384,14-05-2015,250
15385,14-05-2015,500
15386,14-05-2015,250
15398,14-05-2015,250
15423,15-05-2015,1000
15424,15-05-2015,250
15425,15-05-2015,250
15426,15-05-2015,250
15427,15-05-2015,250
15437,15-05-2015,500
15438,15-05-2015,1250
15439,15-05-2015,500
15440,15-05-2015,250
15453,15-05-2015,250
15454,15-05-2015,500
15455,15-05-2015,500
15456,15-05-2015,250
15510,17-05-2015,1000
15511,17-05-2015,750
15512,17-05-2015,750
15531,17-05-2015,750
15550,17-05-2015,250
15554,17-05-2015,1250
15641,18-05-2015,1000
15672,19-05-2015,500
15673,19-05-2015,250
15679,20-05-2015,750
15680,20-05-2015,250
15684,20-05-2015,250
15685,20-05-2015,750
15707,20-05-2015,250
15715,21-05-2015,1000
15716,21-05-2015,250
15729,21-05-2015,750
15730,21-05-2015,250
15732,21-05-2015,1000
15738,22-05-2015,250
15748,22-05-2015,1500
15749,22-05-2015,500
15757,23-05-2015,500
15789,25-05-2015,250
15801,25-05-2015,750
15802,25-05-2015,750
15803,25-05-2015,500
15816,26-05-2015,500
15818,26-05-2015,750
15867,27-05-2015,500
15868,27-05-2015,250
15869,27-05-2015,500
15870,27-05-2015,250
15872,27-05-2015,500
15873,27-05-2015,250
15874,27-05-2015,250
15875,27-05-2015,250
15876,27-05-2015,250
15887,27-05-2015,750
15888,27-05-2015,500
15889,27-05-2015,250
15918,28-05-2015,750
15919,28-05-2015,750
15920,28-05-2015,750
15921,28-05-2015,250
15937,28-05-2015,1000
15954,29-05-2015,1000
15955,29-05-2015,500
15962,29-05-2015,1000
15963,29-05-2015,750
15964,29-05-2015,500
15990,29-05-2015,2000
15998,31-05-2015,500
16013,31-05-2015,250
16027,02-06-2015,750
16028,02-06-2015,500
16029,02-06-2015,250
16039,02-06-2015,500
16040,02-06-2015,250
16045,03-06-2015,500
16046,03-06-2015,500
16047,03-06-2015,250
16062,03-06-2015,500
16112,03-06-2015,2000
16117,04-06-2015,250
16130,05-06-2015,1250
16131,05-06-2015,750
16132,05-06-2015,500
16133,05-06-2015,1000
16134,05-06-2015,1000
16135,05-06-2015,500
16142,05-06-2015,250
16143,05-06-2015,750
16161,07-06-2015,750
16203,07-06-2015,1500
16204,07-06-2015,1000
16218,07-06-2015,250
16228,07-06-2015,500
16231,07-06-2015,1000
16232,07-06-2015,250
16233,07-06-2015,750
16234,07-06-2015,250
16241,08-06-2015,750
16242,08-06-2015,750
16243,08-06-2015,250
16244,08-06-2015,250
16245,08-06-2015,500
16277,08-06-2015,500
16278,08-06-2015,1000
16279,08-06-2015,750
16299,08-06-2015,1000
16312,08-06-2015,250
16313,08-06-2015,500
16314,08-06-2015,250
16315,08-06-2015,1000
16316,08-06-2015,250
16321,08-06-2015,500
16322,08-06-2015,500
16323,08-06-2015,500
16324,08-06-2015,250
16325,08-06-2015,500
16326,08-06-2015,250
16327,08-06-2015,250
16328,08-06-2015,250
16329,08-06-2015,500
16330,08-06-2015,250
16351,09-06-2015,750
16352,09-06-2015,250
16393,10-06-2015,1000
16394,10-06-2015,1000
16431,10-06-2015,500
16432,10-06-2015,500
16433,10-06-2015,250
16434,10-06-2015,250
16443,11-06-2015,500
16480,14-06-2015,500
16486,14-06-2015,500
16487,14-06-2015,1000
16499,14-06-2015,750
16502,14-06-2015,250
16504,14-06-2015,250
16539,16-06-2015,250
16541,16-06-2015,1000
16546,16-06-2015,500
16559,16-06-2015,500
16560,16-06-2015,250
16564,17-06-2015,750
16566,17-06-2015,250
16567,17-06-2015,250
16577,17-06-2015,500
16578,17-06-2015,500
16634,19-06-2015,500
16635,19-06-2015,250
16658,19-06-2015,250
16659,19-06-2015,500
16660,19-06-2015,250
16673,21-06-2015,250
16700,23-06-2015,250
16750,23-06-2015,500
16751,23-06-2015,250
16767,24-06-2015,1000
16785,24-06-2015,250
16786,25-06-2015,250
16792,25-06-2015,500
16793,25-06-2015,1250
16794,25-06-2015,250
16854,25-06-2015,500
16855,25-06-2015,250
16856,25-06-2015,500
16857,25-06-2015,750
16874,26-06-2015,750
16875,26-06-2015,500
16876,26-06-2015,250
16881,26-06-2015,750
16882,26-06-2015,250
16886,26-06-2015,250
16887,26-06-2015,1000
16894,26-06-2015,1000
16895,26-06-2015,250
16898,26-06-2015,1000
16899,26-06-2015,250
16901,26-06-2015,1500
16919,28-06-2015,250
16949,30-06-2015,2000
16950,30-06-2015,1000
16964,30-06-2015,500
16965,30-06-2015,250
16966,30-06-2015,1000
16967,30-06-2015,250
17015,01-07-2015,1000
17016,01-07-2015,1500
17017,01-07-2015,250
17018,01-07-2015,250
17020,01-07-2015,500
17049,01-07-2015,250
17050,01-07-2015,750
17051,01-07-2015,250
17052,01-07-2015,500
17064,02-07-2015,500
17073,02-07-2015,1000
17074,02-07-2015,500
17178,05-07-2015,250
17181,06-07-2015,250
17208,07-07-2015,1000
17209,07-07-2015,250
17216,07-07-2015,250
17237,08-07-2015,750
17238,08-07-2015,500
17245,08-07-2015,500
17246,08-07-2015,1000
17247,08-07-2015,250
17248,08-07-2015,500
17249,08-07-2015,250
17257,09-07-2015,1000
17310,10-07-2015,250
17317,10-07-2015,-250
17318,10-07-2015,250
17319,10-07-2015,500
17320,10-07-2015,1250
17342,10-07-2015,250
17368,12-07-2015,750
17369,12-07-2015,500
17385,13-07-2015,1000
17388,13-07-2015,750
17389,13-07-2015,250
17403,14-07-2015,750
17404,14-07-2015,500
17410,14-07-2015,500
17411,14-07-2015,250
17419,14-07-2015,250
17420,14-07-2015,250
17421,14-07-2015,500
17422,14-07-2015,750
17423,14-07-2015,250
17424,14-07-2015,500
17458,14-07-2015,250
17459,14-07-2015,500
17460,14-07-2015,1000
17461,14-07-2015,500
17462,14-07-2015,250
17476,15-07-2015,1000
17485,15-07-2015,2000
17506,15-07-2015,750
17507,15-07-2015,500
17508,15-07-2015,500
17509,15-07-2015,250
17510,15-07-2015,500
17521,17-07-2015,750
17522,17-07-2015,250
17523,17-07-2015,500
17539,17-07-2015,1000
17543,17-07-2015,500
17544,17-07-2015,750
17551,17-07-2015,1500
17559,17-07-2015,500
17560,17-07-2015,500
17561,17-07-2015,2000
17577,19-07-2015,750
17631,19-07-2015,500
17632,19-07-2015,250
17646,20-07-2015,250
17647,20-07-2015,250
17648,20-07-2015,500
17649,20-07-2015,250
17656,21-07-2015,250
17657,21-07-2015,1500
17658,21-07-2015,250
17659,21-07-2015,1000
17661,21-07-2015,250
17662,21-07-2015,500
17663,21-07-2015,1250
17669,21-07-2015,250
17692,21-07-2015,500
17713,22-07-2015,750
17714,22-07-2015,500
17724,22-07-2015,500
17725,22-07-2015,500
17726,22-07-2015,1000
17730,22-07-2015,750
17731,22-07-2015,1000
17732,22-07-2015,750
17733,22-07-2015,2000
17743,22-07-2015,1000
17744,22-07-2015,750
17745,22-07-2015,500
17746,22-07-2015,250
17763,23-07-2015,250
17766,23-07-2015,750
17778,24-07-2015,500
17779,24-07-2015,750
17780,24-07-2015,250
17781,24-07-2015,250
17782,24-07-2015,250
17783,24-07-2015,500
17802,24-07-2015,1000
17803,24-07-2015,1000
17804,24-07-2015,500
17851,27-07-2015,1000
17852,27-07-2015,1000
17853,27-07-2015,500
17863,27-07-2015,500
17903,30-07-2015,500
17906,30-07-2015,250
17923,02-08-2015,250
17951,03-08-2015,500
17952,03-08-2015,250
17953,03-08-2015,250
17991,04-08-2015,1000
17999,04-08-2015,250
18025,05-08-2015,500
18026,05-08-2015,750
18036,05-08-2015,1250
18087,07-08-2015,250
18088,07-08-2015,250
18089,07-08-2015,500
18109,10-08-2015,500
18110,10-08-2015,250
18164,10-08-2015,500
18165,10-08-2015,500
18166,10-08-2015,500
18173,11-08-2015,1000
18174,11-08-2015,1000
18175,11-08-2015,250
18176,11-08-2015,250
18180,11-08-2015,2000
18181,11-08-2015,1000
18189,11-08-2015,750
18192,11-08-2015,500
18193,11-08-2015,1000
18194,11-08-2015,500
18212,12-08-2015,500
18215,12-08-2015,1000
18220,12-08-2015,750
18221,12-08-2015,500
18223,12-08-2015,750
18229,12-08-2015,2000
18235,13-08-2015,750
18236,13-08-2015,250
18257,13-08-2015,750
18258,13-08-2015,500
18259,13-08-2015,250
18272,14-08-2015,250
18285,14-08-2015,250
18286,14-08-2015,1000
18321,17-08-2015,750
18322,17-08-2015,500
18323,17-08-2015,1000
18324,17-08-2015,250
18325,17-08-2015,750
18326,17-08-2015,250
18327,17-08-2015,250
18343,17-08-2015,1000
18344,17-08-2015,500
18345,17-08-2015,250
18346,17-08-2015,1500
18347,17-08-2015,250
18363,17-08-2015,1000
18370,17-08-2015,750
18393,18-08-2015,1500
18394,18-08-2015,250
18395,18-08-2015,250
18396,18-08-2015,1000
18397,18-08-2015,250
18398,18-08-2015,250
18407,18-08-2015,1250
18408,18-08-2015,500
18409,18-08-2015,250
18437,19-08-2015,1000
18438,19-08-2015,2000
18462,19-08-2015,1000
18463,19-08-2015,1000
18464,19-08-2015,750
18465,19-08-2015,1500
18466,19-08-2015,750
18499,20-08-2015,500
18500,20-08-2015,250
18501,20-08-2015,750
18525,20-08-2015,250
18531,20-08-2015,250
18541,20-08-2015,250
18542,20-08-2015,250
18543,20-08-2015,500
18544,20-08-2015,750
18545,20-08-2015,500
18546,20-08-2015,250
18548,20-08-2015,500
18565,21-08-2015,250
18566,21-08-2015,250
18567,21-08-2015,500
18598,21-08-2015,250
18599,21-08-2015,250
18617,23-08-2015,500
18624,23-08-2015,250
18686,25-08-2015,250
18700,26-08-2015,1000
18704,27-08-2015,250
18705,27-08-2015,750
18721,27-08-2015,750
18744,30-08-2015,250
18745,30-08-2015,250
18746,30-08-2015,250
18755,30-08-2015,250
18761,30-08-2015,750
18850,01-09-2015,500
18851,01-09-2015,250
18874,01-09-2015,250
18875,01-09-2015,750
18877,01-09-2015,750
18878,01-09-2015,1250
18879,01-09-2015,500
18880,01-09-2015,250
18881,01-09-2015,1000
18882,01-09-2015,1000
18883,01-09-2015,1000
18884,01-09-2015,500
18901,02-09-2015,250
18918,03-09-2015,250
18919,03-09-2015,750
18954,03-09-2015,250
18966,03-09-2015,750
18967,03-09-2015,250
18982,03-09-2015,250
19009,03-09-2015,250
19010,03-09-2015,2000
19011,03-09-2015,250
19036,03-09-2015,250
19037,03-09-2015,250
19038,03-09-2015,750
19074,04-09-2015,500
19101,06-09-2015,750
19102,06-09-2015,1500
19103,06-09-2015,1000
19114,06-09-2015,250
19115,06-09-2015,1000
19116,06-09-2015,250
19119,06-09-2015,500
19120,06-09-2015,1000
19151,06-09-2015,1000
19152,06-09-2015,750
19153,06-09-2015,1000
19154,06-09-2015,250
19161,06-09-2015,250
19162,06-09-2015,500
19163,06-09-2015,750
19164,06-09-2015,250
19165,06-09-2015,250
19166,06-09-2015,500
19167,06-09-2015,750
19258,09-09-2015,1500
